,tokenized
59666,"['사이즈', '센치', '씩', '늘린건데', '도작', '아', '요', '그리고', '색상', '완전', '달라', '요', '칙칙한', '핑크', '요', 'ㅠㅠ', '많이', '아쉽지만', '암', '막', '효과', '좋아요']"
12433,"['ㅂ', '불만족', '빗', '아픔', '멍', '피부', '빗질못', '해주겟네요']"
146516,"['제품', '쓰고', '삼일', '만에', '변기', '물이', '잘안', '내려갔어요', '혹시', '나', '해서다시', '빼', '보니', '물이', '다시잘', '내려가네요', '많은', '걸다', '어쩌나', '요', '반품', '하고', '싶다']"
158109,"['적당하고', '만족합니다']"
70219,"['편하자고이', '용하는', '밀키', '튼데', '손', '은근', '많이', '가서', '저', '패쓰', '요']"
128534,"['아기', '어릴', '때', '부터', '항상', '써오던거에요']"
55588,"['너무', '좋가', '겨', '방금', '우리', '집데', '도둑', '기']"
61283,"['몸', '좋은', '카카오', '닙스', '강력', '추천', '배송', '빠르고', '지프', '펙', '으로', '팩', '왔네요', '보관', '쉽고', '먹기', '편합니다', '올해', '건강하게', '출발', '할거', '같네요', 'ㅎㅎㅎ']"
93963,"['바르', '먄', '건조해요', '아직', '잘', '모르겠다는', 'ㅡㅡ']"
2119,"['빠른', '배송', '슬림핏', '이라서', '너무', '타', '잇하면', '어쩌나', '했는데', '딱', '이쁩니다']"
177546,"['추천', '합니다', '독일', '니베아', '크림', '필요해서', '폭풍', '검색', '다가', '여기', '제일', '싸고', '평이', '많아서', '구매', '되었습니다', '크림', '발림', '성', '좋고', '만족합니다', '번창', '하세요']"
110890,"['별로', '예요', '진짜', '별로', 'ㄷ', '근', 'ㆍ']"
147841,"['색상', '네이비', '로', '샀고', '침대', '패드', '에바', '로', '이염', '됐어요', 'ㅜㅜ']"
137946,"['굽이', '높아서', '걱정', '했는데', '안정감', '있어요']"
126633,"['대자', '샀는데', '특대', '사안', '된건', '지속', '껀좀', '작네요', '상품', '평보', '샀는데', '제것', '만', '이런', '건지', '앞', '에는', '크고', '두껍', '고속', '크기', '작고', '확실히', '얇네요', '아직', '맛', '못', '봤지만', '가격', '비해', '모양', '크기', '실망', '예요']"
64441,"['배송', '만족', '처음', '써', '보는', '제품', '대도', '쉽게', '적응할수있는', '간편한사', '용법', '이라', '잘', '사용', '등산', '에서', '아주', '반응', '좋음', '다음', '에도', '재구매', '할', '용의', '있어요']"
154753,"['재구', '매가', '성비', '좋고', '좋아요']"
